sfcode
AGS
AIG
AIP
ALN
ANO
APH
APP
BAG
BIN
BQY
BQZ
BRQ
BTH
BTN
CDN
CHA
CHE
CLE
CLO
COL
COZ
CRA
CRD
CRS
DEC
DEJ
ECL
EPE
EPG
EPZ
FIB
FLW
HEM
JHA
KNO
LAM
NVT
PCT
PDH
PDS
MEU
PSN
PZZ
SCA
SGT
SLA
SPA
SPV
STU
TAC
TEG
TES
TOO
VSH
VSL
VSR
WAS
TGE
MVO
PGR
MTR
SCU
PAR
DAU
OPS
PMA
INS
BLV
MON
