phases,sfcode,numfr,numint,weight
MZ1,CLO,1,0,25
MZ1,CLO,1,0,7
MZ1,WAS,1,0,248
MZ1,BRQ,2,0,451
MZ1,SLA,19,0,
MZ1,SLA,2,0,17
MZ1,SLA,5,0,29
MZ1,AIP,0,1,4
MZ1,ANO,0,1,1
MZ1,CLO,1,0,12
MZ1,PGR,1,0,0
MZ1,SLA,2,0,133
MZ1,WAS,1,0,359
MZ1,SLA,2,0,64
MZ1,EPZ,1,0,1.11
MZ1,DAU,3,0,39.6
MZ1,ZZZ,1,0,437
MZ1,YYY,1,0,3
MZ1,CLO,1,0,8.65
MZ1,SLA,4,0,42
MZ1,SLA,5,0,44
MZ1,BQY,1,0,2745
MZ1,YYY,1,0,0.56
MZ2,CLO,0,1,30.92
MZ2,CLO,1,0,8.31
MZ2,CLO,0,1,39.07
MZ2,CLO,1,0,15.47
MZ2,CLO,0,1,37.16
MZ2,CLO,0,1,41
MZ2,CLO,0,1,53
MZ2,CLO,1,0,21.58
MZ2,CLO,0,1,27.48
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,1,0,17.18
MZ2,CLO,1,0,43
MZ2,CLO,0,1,40
MZ2,CLO,,,
MZ2,CLO,0,1,39.19
MZ2,CLO,,,
MZ2,CLO,0,1,33.14
MZ2,CLO,1,0,6.91
MZ2,BQY,1,0,570
MZ2,CLO,2,0,5.33
MZ2,CLO,0,1,31.71
MZ2,CLO,0,1,56
MZ2,BQY,2,0,921
MZ2,CLO,1,0,28
MZ2,CLO,,,
MZ2,CLO,0,1,50
MZ2,ANO,0,1,3.19
MZ2,CLO,0,1,55
MZ2,CLO,1,0,14.18
MZ2,CLO,1,0,29.98
MZ2,CLO,1,0,29.11
MZ2,CLO,0,1,21
MZ2,CLO,0,1,25.02
MZ2,CLO,0,1,14
MZ2,CLO,0,1,19
MZ2,CLO,0,1,25.05
MZ2,CLO,1,0,16
MZ2,CLO,0,1,25
MZ2,CLO,0,1,39
MZ2,CLO,1,0,9
MZ2,CLO,,,
MZ2,CLO,1,0,22.02
MZ2,BIN,1,0,1.69
MZ2,CLO,1,0,1
MZ2,CLO,2,0,25.79
MZ2,CLO,1,0,2.89
MZ2,CLO,1,0,3.4
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,0,1,46
MZ2,CLO,1,0,7.66
MZ2,CLO,0,1,21.42
MZ2,CLO,0,1,2.97
MZ2,CLO,0,1,39.88
MZ2,CLO,0,1,52
MZ2,CLO,,,
MZ2,CLO,1,0,13
MZ2,CLO,0,1,22
MZ2,ANO,0,1,40
MZ2,CLO,0,1,39
MZ2,CLO,22,0,127
MZ2,CLO,,,
MZ2,CLO,0,1,27
MZ2,CLO,0,1,32
MZ2,CLO,0,1,35
MZ2,CLO,0,1,63
MZ2,CLO,1,0,25
MZ2,CLO,0,1,144
MZ2,CLO,2,0,20
MZ2,CLO,0,1,33.35
MZ2,CLO,,,
MZ2,CLO,0,1,27
MZ2,CLO,,,
MZ2,CLO,1,0,67
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,1,1,60
MZ2,CLO,,,
MZ2,CLO,2,0,66
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,1,3,131
MZ2,CLO,2,1,44
MZ2,CLO,0,1,28
MZ2,CLO,1,0,7.36
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,4,2,146
MZ2,CLO,,,
MZ2,CLO,,,
